NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
"Travis County, Texas",1001 to 5000 Employees,"Austin, TX",Municipal Governments,3.8,3.3,3.4,3.7,3.2,3.7,3.4,See All 119 Reviews,N/A,N/A
"bareMinerals
Part of Shiseido",1001 to 5000 Employees,"San Francisco, CA",Beauty & Personal Accessories Stores,3.9,4.3,4.3,3.7,3.6,3.5,3.1,See All 743 Reviews,"The foundation that launched the mineral makeup revolution, Bare Escentuals is more than just a beauty company. Since opening our first boutique in 1976 we’ve always done things differently. With our award-winning brands bareMinerals, Buxom, and MD Formulations, we have an undeniable global presence. We develop, market and sell makeup and skincare through many touch points: online, retail, wholesale partners, spa and QVC.",N/A
"Valley Medical Center
Hiring Surge",1001 to 5000 Employees,"Renton, WA",Health Care Services & Hospitals,3.8,3.6,3.6,3.6,3.1,4.5,3.6,See All 125 Reviews,"Valley Medical Center is the largest nonprofit hospital between Seattle and Tacoma, serving over 600,000 residents. In addition to the hospital, the Medical Center operates a network of more than two dozen primary care, urgent care and specialty clinics throughout Southeast King County.
Located in Renton, Washington, VMC offers medical, surgical and 24-hour emergency care as a Level III Trauma Center. VMC is a regional resource with recognized medical specialties in joint replacement and orthopedics, neuroscience, stroke and spine, sleep medicine, and childbirth and neonatal care, and provides specialized heart and vascular, and cancer treatment.

At Valley Medical Center, we witness the remarkable power of life in everything we do. It’s humbling, it’s inspiring, and serves as a constant reminder of why we are here—to care for people.","Mission: Valley Medical Center, the District’s Healthcare System, is committed to providing access to safe, quality healthcare for the public. The District Healthcare System is integrated with UW Medicine and collaborates to ensure comprehensive, high quality, safe, compassionate, cost-effective healthcare is provided.

Vision

A regionally integrated health delivery system with the best quality, service, access, and people in the Puget Sound region."
2U,1001 to 5000 Employees,"Lanham, MD",Enterprise Software & Network Solutions,3.9,3.9,3.9,3.9,3.4,3.6,3.5,See All 790 Reviews,"2U, Inc. is a diverse collection of more than 3,500 individuals across ten offices worldwide who share a common belief that great universities can redefine higher education to address the critical needs of society.

Our mission is to eliminate the back row in higher education. For more than a decade, we’ve been a global leader in education technology and a trusted partner and brand steward of great universities. We build, deliver, and support more than 400+ digital and in-person educational offerings, including undergraduate and graduate degrees, professional certificates, Trilogy-powered boot camps, and GetSmarter short courses. Together with our partners, we have transformed the lives of more than 225,000+ students and lifelong learners.

At 2U, being bold and fearless is part of the job and we’re looking for innovators, dreamers, builders, and doers to improve lives through edtech with a human touch. Join us.",N/A
St. Joseph Health System,10000+ Employees,"Irvine, CA",Health Care Services & Hospitals,3.7,3.4,3.6,3.5,3.2,3.4,3.5,See All 566 Reviews,"Based in Irvine, Calif., St. Joseph Health serves 10 distinct communities within three regions – Northern California, Southern California and West Texas/Eastern New Mexico. Our extraordinary service continues to be recognized locally and nationally, including distinctions in US News & World Report and Magnet recognition.

In July 2016, St. Joseph Health and Providence Health & Services came together to form a new parent organization, Providence St. Joseph Health. Our family of organizations consists of 114,000 employees serving in 50 hospitals and 829 clinics across seven states. We are led by President and CEO, Rod Hochman, MD.",N/A
"IMG Worldwide
Part of WME",1001 to 5000 Employees,"New York, NY",Sports & Recreation,3.8,3.6,3.8,3.6,3.3,3.2,3.0,See All 282 Reviews,"IMG is a global leader in sports, events, media and fashion, operating in more than 30 countries. The company represents and manages some of the world’s greatest sports figures and fashion icons; stages hundreds of live events and branded entertainment experiences annually; and is one of the largest independent producers and distributors of sports media. IMG also specializes in sports training; league development; and marketing, media and licensing for brands, sports organizations and collegiate institutions. In 2014, IMG was acquired by WME, a leading global entertainment agency.",N/A
Lendlease,10000+ Employees,"Sydney, Australia",Real Estate,3.8,3.9,3.8,3.5,3.2,3.5,3.4,See All 757 Reviews,N/A,N/A
"Young & Rubicam
Now known as VMLY&R",10000+ Employees,"New York, NY",Advertising & Marketing,3.8,3.7,3.3,3.0,3.1,2.9,3.1,See All 457 Reviews,"Y&R, one of the most iconic global advertising agencies, connects deep insights with creative solutions that propel brands. With a mission to Resist the Usual, Y&R leverages its extensive global network to share tools, technology and resources for clients. Operating in 93 countries, Y&R works with some of the most renowned companies including Bel Brands, Pepperidge Farm, Colgate-Palmolive, Danone, Dell, Telefonica and Xerox. Y&R is a WPP company (NYSE: WPP). For more information, visit yr.com.",N/A
State Compensation Insurance Fund,1001 to 5000 Employees,"San Francisco, CA",Insurance Carriers,3.8,4.6,3.9,3.9,3.5,3.8,3.6,See All 190 Reviews,"Established in 1914 by the state legislature, State Fund has operated for more than 100 years, is California’s largest provider of workers’ compensation insurance, and a vital asset to California businesses. We support California’s entrepreneurial spirit, play a stabilizing role in the economy by providing fairly priced workers’ compensation insurance, help make California workplaces safe, and restore injured workers.

State Fund offers diverse and comprehensive products and services that provide a strong and stable option for employers and injured employees with fast, reliable claims service and medical and indemnity benefits. State Fund’s accident prevention services and return to work programs—provided to policyholders at no additional cost—ultimately help save businesses money.

With approximately 130,000 policyholders, more than $1.2 billion in premium, and nearly $20 billion in assets, Californians rely on the security and certainty offered by State Fund to the state’s employers.",N/A
2U,1001 to 5000 Employees,"Lanham, MD",Enterprise Software & Network Solutions,3.9,3.9,3.9,3.9,3.4,3.6,3.5,See All 790 Reviews,"2U, Inc. is a diverse collection of more than 3,500 individuals across ten offices worldwide who share a common belief that great universities can redefine higher education to address the critical needs of society.

Our mission is to eliminate the back row in higher education. For more than a decade, we’ve been a global leader in education technology and a trusted partner and brand steward of great universities. We build, deliver, and support more than 400+ digital and in-person educational offerings, including undergraduate and graduate degrees, professional certificates, Trilogy-powered boot camps, and GetSmarter short courses. Together with our partners, we have transformed the lives of more than 225,000+ students and lifelong learners.

At 2U, being bold and fearless is part of the job and we’re looking for innovators, dreamers, builders, and doers to improve lives through edtech with a human touch. Join us.",N/A
