NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Mathnasium,1 to 50 Employees,"Los Angeles, CA",K-12 Education,4.3,4.6,4.3,4.3,4.0,3.0,3.4,"See All 1,349 Reviews","MATHNASIUM – The Math Learning Center is your neighborhood math-only learning center that teaches kids math the way that makes sense to them. At Mathnasium, we believe every child has the ability to be more successful with a solid foundation in mathematics. Our success comes from teaching in a way that makes sense to each child as an individual learner. When math makes sense, kids excel – in the classroom at school, and beyond in life – whether struggling today or looking to get further ahead tomorrow.","Mission: Mathnasium's mission is to make math make sense to kids and, so doing, build their confidence and a deeper understanding mathematics for a lifetime of success. Through our franchised as well as company-owned learning centers, we provide mathematics tutoring from pre-K through high school. Through experienced, passionate math instructors using The Mathnasium Method™ (our proprietary teaching materials and tutoring techniques), we are building strength in numbers...one child at a time."
Push Agency,1 to 50 Employees,"Tempe, AZ",Advertising & Marketing,4.9,5.0,4.7,4.8,4.6,4.7,4.7,See All 237 Reviews,"For over a decade, The PUSH Agency has evolved into the industry leader by leveraging technology that simply no other company can match. PUSH is dominating the field of event staffing by planning and executing strategies for many of the world’s most recognized brands. With the largest database of event staffing talent in North America, the obvious value proposition of PUSH is our sheer size. But this endless amount of talent options only scratches the surface of what really makes us special. Our PUSH Corporate office employs the most talented individuals in the business. We are powered by a well-oiled machine featuring the most creative and adaptable Program Managers and Booking Agents. As the event marketing industry grows so do we. Our innovative technologies and proprietary processes constantly improve and every individual on our team receives ongoing training led by veteran industry leaders. And they get to work from the comfort of the coolest office environment you can dream of!","Mission: OUR CORE VALUES
BE ZEN – We don’t believe in drama.
BE BETTER – We have an unwavering commitment to excellence.
BE A FAMILY – Our team is a close-knit family.
BE OF SERVICE – We’re committed to providing the best customer service we possibly can.
BE ADAPTABLE – We believe change is constant.
BE INNOVATIVE – We ask impossible questions as a catalyst for new and better ways of doing things.
BE RESPONSIBLE – We accept accountability without placing blame."
Horizon Innovations,1 to 50 Employees,"Jacksonville, FL",Advertising & Marketing,4.8,N/A,4.9,4.0,4.9,4.7,4.9,See All 171 Reviews,"At Horizon Innovations, we know that the world is changing - new technologies, disciplines, companies & job descriptions are springing up every day. Today's top jobs didn't exist five years ago. Tomorrow, we'll be looking for talent to fill positions that haven't yet been imagined, and competing for talent with new types of employers and industries.

With these changes in mind, our goal is simple: to continue to attract and retain the world's best talent. Horizon Innovations is a perfect combination of innovative ideas, superb client service and successful business professionals. We believe that the quality of a business depends upon the quality of its people with varying backgrounds, resources and skills.",N/A
Traveling Vineyard,1 to 50 Employees,"Ipswich, MA",Food & Beverage Stores,4.8,5.0,4.9,4.8,4.8,4.5,4.7,See All 261 Reviews,"Traveling Vineyard is a unique direct selling company that has enabled people all over the country to earn extra income on a flexible schedule through their love of wine. With a network of more than 5,000 Wine Guides operating in 38 states across the country, Traveling Vineyard has grown around the benefits of working for a company founded on the principles of flexibility, financial reward, fun, fulfillment and friendship. Traveling Vineyard empowers entrepreneurs to build home-based businesses by leading fun and educational in-home wine tasting events marketing award-winning, exclusive wines, sourced from high-quality vineyards all over the world and bottled at Traveling Vineyard’s wine making facilities. For more information about the company, and to learn more about becoming a Wine Guide, visit www.TravelingVineyard.com.","Mission: We aim to share our enthusiasm for wine while demystifying wine tasting and wine pairing, and help our Wine Guides build successful careers. We bring people together in a relaxed, home environment, providing Hosts & Guests with an entertaining, informative wine tasting experience they will want to experience again & again. We provide Wine Guides with the knowledge & support to build a fun, flexible, financially-rewarding career that leads to new friendships and personal fulfillment. Must be 21."
OLN,1 to 50 Employees,"Long Beach, CA",Advertising & Marketing,4.6,5.0,4.7,3.5,4.5,3.7,4.7,See All 78 Reviews,"What Does OLN Inc Do?
> OLN Inc is a direct marketing firm. We are hired by Fortune 500 companies who have chosen to either supplement or replace their current marketing efforts. Our Long Beach branch is currently working on a business-to-business marketing campaign for one of the US's largest telecommunications companies and the largest US-based e-commerce company.

What's it Like to Work at OLN Inc?
> You'll be able to tell the second you step into our office! Our team is dedicated and energetic, and our energy is contagious. There aren't any cubicles, and no one is micromanaged. We are a close-knit group, and we value strong relationships. We’re always laughing, and we genuinely enjoy what we do. It’s not at all atypical for our president to walk into the room and start an impromptu game of office-wide Pictionary!

What is the training Like?
> At OLN Inc, we take so much pride in our extremely training program. Each new employee is assigned a mentor who helps guide them through new roles or tasks.","Mission: To develop an organization of highly successful and profitable offices led by motivated and focused managers. | To provide opportunity for growth and financial independence based on a proficient marketing approach, diligent leadership, and commitment to standards. | To create necessity for client services and products by creating proper relationships with their customers and eliminating media clutter. | To consult consumers business with a goal to raise their efficiency and lower their overheard."
"Naughty Dog
Part of PlayStation",1 to 50 Employees,"Santa Monica, CA",Video Games,4.6,4.3,4.4,3.3,4.0,4.4,4.5,See All 75 Reviews,"Naughty Dog is the developer of some of the most critically acclaimed and top-selling video games on PlayStation platforms, having created the classic Crash Bandicoot and Jak and Daxter series, as well as modern franchises Uncharted and The Last of Us. We have become recognized as industry leaders for our storytelling, graphics and cinematic quality in our games. The studio is currently developing The Last of Us Part II.<br /><br />Naughty Dog is also home to Sony World Wide Studios’ ICE Team, a central technology group that focuses on creating core graphics technologies for Sony’s worldwide first-party published titles, including low-level game engine components, graphics processing pipelines, supporting tools, and graphics profiling and debugging tools.",N/A
SV Academy,1 to 50 Employees,"San Francisco, CA",Education Training Services,4.6,5.0,4.8,3.9,4.6,4.5,4.8,See All 169 Reviews,"We prepare tomorrow's tech leaders for today's jobs.

Eighty-nine percent of business leaders believe that today's college grads aren't job-ready. Changing careers and trying to break into the tech industry with no tech training or experience is almost impossible. This changes now. Our mission is to give students and career shifters the skills, work experience and connections they need to land the tech job they want -- just like we've done for over 300 sales & business development professionals.

The SV Academy Business Development Fellowship is a tuition free program that takes fellows from an internship to a great job in tech with a starting salary of $79,000 after 3 months of training, mentorship, and hands-on career coaching. The training is 100% paid for by employers, so fellows pay nothing.

In just two years we have partnered with more than 150 top employers in Silicon Valley and New York City, engaged with more than 10,000 job seekers, and achieved an average of 2.2x income expansion for our graduates transitioning into entry-level positions. Our job seekers have incredibly diverse backgrounds: 60% are women, 40% are African American/Latinx, and 70% were the first in their family to graduate from college.",N/A
EAI Technologies,1 to 50 Employees,"Vienna, VA",Enterprise Software & Network Solutions,4.5,N/A,4.6,4.3,4.5,3.8,4.0,See All 28 Reviews,"EAI Technologies - EAI = Enterprise Application Innovation :)

EAI is a boutique software development firm that has provides innovative software solutions to startups and Fortune 50 companies alike since its incorporation in 2001. EAI specializes in designing and building Enterprise Web and Mobile applications for the likes of Verizon, Capital One, Neustar, Cardinal Health, and many other corporations.

EAI gets its power and strength from the people behind the company. It's PERSONAL - everyone gets in on the interactions at the office.","Mission: EAI Technologies builds trusted partnerships with our customers by understanding the Customers priorities and needs, quickly developing and delivering innovative product offerings through practical solutions that accelerate time-to-market. All of this is achieved while always honoring our fixed price, even at the cost of any single project’s profitability."
Capstone Consultants,1 to 50 Employees,"Charlotte, NC",Advertising & Marketing,4.5,3.0,4.7,3.7,4.7,4.6,4.7,See All 112 Reviews,"Capstone Consultants is a marketing and sales firm in Charlotte, NC.

At Capstone, we only work with Fortune 500 companies. They rely on us to provide professional marketing and management teams. In the ever changing world of technology, the art of verbal communication has been lost. We provide a personal one-on-one consulting approach in marketing, sales and communication in a given market to maximize revenue and growth. This allows us to penetrate target markets more effectively than other forms of marketing, making Capstone Consultants invaluable to our clients’ national expansion plans.",N/A
Tekstrom,1 to 50 Employees,"Wilmington, DE",IT Services,4.5,4.0,4.6,4.4,4.5,4.4,4.4,See All 14 Reviews,"Tekstrom Inc. was founded in 1999 as a core software quality assurance (SQA) and testing services company. Before our 15th birthday, we had become one of the leading software testing businesses in North America. The company operates from its United States headquarters in Newark, Delaware, and satellite branches in Chicago, Toronto, Canada and Bangalore, India.

Our engineers and specialists leverage a portfolio of emerging technologies, proprietary methodologies and tools to design, develop and deliver best-in-class automated testing solutions and root cause analysis to fix the quality gaps for small, medium, large, complex and mission-critical systems.

Tekstrom has logged more than a million man-hours of software testing experience with 250,000 man-hours as a quality assurance/testing partner with organizations including Ally Bank, Barclays Card US, Inergi (a Cap Gemini company), Media 5, Yapmo and many others in private industry and government. Repeat clients include Canada’s provincial governments, Toronto District School Board, Research in Motion, JP Morgan Chase, Chicago Housing Authority, TIAA-CREF, Abel Med, Wyndham Hotels and many more. Tekstrom assists its clients in defining the right mix of tools and frameworks, including commercial off-the-shelf tools like HP-QTP, ALM and open source approaches such as Selenium, Watir, JMeter, JIRA for functional, performance and security testing for enterprise, web and mobile applications and systems. Certified experts comprise about three-quarters of the company’s workforce. PMP, ISTQB, CSM, CSP, HP-AIS are a few of the certifications held by Tekstrom test engineers and programmers.",N/A
