NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Vector Marketing,501 to 1000 Employees,"Olean, NY",Advertising & Marketing,4.5,4.6,4.6,4.5,4.5,4.4,4.6,"See All 5,012 Reviews",N/A,N/A
AlphaSights,501 to 1000 Employees,"London, United Kingdom",Consulting,4.0,3.4,4.0,3.1,4.1,3.7,3.7,See All 556 Reviews,"AlphaSights provides global investment and business professionals with on-demand access to business expertise across all industries and geographies. Through AlphaSights, decision-makers from investment management, private equity, management consulting, and corporates connect with a dynamic network of industry experts that provide qualitative and quantitative market insights, industry expertise, and execution support. Leveraging cutting-edge technology and our global team of 700+ professionals in nine offices on three continents, we support our clients 24/7 around the globe.

Read more about life at AlphaSights at https://www.alphasights.com/news/alphasights-blog

Check out our engineering team at https://www.alphasights.com/careers/alphatech",N/A
Boys & Girls Clubs of America,501 to 1000 Employees,"Atlanta, GA",Social Assistance,3.9,4.1,3.8,3.7,3.2,2.9,3.3,"See All 1,779 Reviews","BGCA Clubs serve nearly 4.7 million youth in over 4,000 Club facilities throughout the country and at BGCA-affiliated youth centers on U.S. military installations worldwide. BGCA Clubs are affiliates of the National Organization. Each community-based club is led by paid, trained youth development professionals, who provide a safe, affordable place for kids during non-school hours and the summer.
Through its headquarters in Atlanta, reg service centers, and a government relations office in Washington, D.C., BGCA provides assistance to Clubs thru marketing and communications, national fundraising, government relations and youth development programs.",N/A
American Automobile Association (AAA),501 to 1000 Employees,"Lake Mary, FL",Membership Organizations,3.6,3.9,3.4,3.3,3.0,3.5,3.2,"See All 1,941 Reviews","This isn't your great-grandfather's American Automobile Association (AAA). The not-for-profit organization is best known for providing emergency roadside assistance to its members. AAA is extending its reach into other areas, however, such as offering a variety of financial and travel-arrangement services (foreign currency exchange and travelers checks), as well. The organization offers its members credit cards, insurance, and vehicle financing. AAA operates travel agencies and publishes maps and travel guides, to boot. AAA and its affiliated 70-odd auto clubs maintain about 1,100 facilities to serve more than 52 million members that span the US and Canada. AAA was founded in 1902.",N/A
Planned Parenthood,501 to 1000 Employees,"New York, NY",Social Assistance,3.5,3.8,3.7,3.2,2.7,3.3,3.1,"See All 1,104 Reviews","Planned Parenthood is a trusted health care provider, an informed educator, a passionate advocate, and a global partner helping similar organizations around the world. Planned Parenthood delivers vital reproductive health care, sex education, and information to millions of women, men, and young people worldwide.

Planned Parenthood Federation of America (PPFA) is the National umbrella organization for PP’s 49 affiliates nationwide. We do not provide healthcare services. The Planned Parenthood Action Fund (PPAF) is a 501(c) 4 independent, non‑partisan, not‑for‑profit organization formed as the political and advocacy arm of PPFA. The Action Fund engages in educational and electoral activity including public education campaigns, grassroots organizing, and legislative advocacy. The organization was founded in 1916 by Margaret Sanger.",N/A
Payless ShoeSource,501 to 1000 Employees,"Topeka, KS","Department, Clothing, & Shoe Stores",3.3,4.0,3.1,3.2,2.9,2.9,3.0,"See All 2,159 Reviews","Payless ShoeSource helps footwear enthusiasts shop like Imelda Marcos. A unit of holding company Collective Brands, Payless is one of the top shoe retailers in the Western Hemisphere. It has some 4,470 self-service discount stores, mostly in the US, but also in Canada, the Caribbean, Central and South America, and Puerto Rico. Payless offers dress, athletic, and casual shoes; slippers; boots; and sandals for men, women, and kids. It targets women age 18 to 49. Its North American stores stock about 6,600 pairs of shoes in 500 styles. Payless also runs one of the world's largest shoe dying businesses, Dyelights. Payless parent Collective Brands also owns the children's shoe company Stride Rite.",N/A
Party City,501 to 1000 Employees,"Rockaway, NJ",Other Retail Stores,3.2,3.5,3.0,3.0,2.8,2.5,2.8,"See All 1,988 Reviews","Party City Holdings is the largest party goods supplier and party retail chain in the world. We are also the country's premier retailer of Halloween costumes, accessories and decorations. Party City Holdings is made up of two divisions, Party City Retail Group (PCRG) and AMSCAN Wholesale. The President of Party City Holdings is Gregg Melnick and the CEO is Gerry Rittenberg.

Party City employs approximately 15,000 people on a regular basis and close to 35,000 around the major Halloween season. Party City Retail has 900+ locations in North America and Puerto Rico and a web presence in 20 countries. Our corporate HQ is located in Rockaway, NJ – a quick 45 minute commute from NYC, with regional offices in CA, MI, IL, Canada and the UK. Party City Retail is also the owner/operator of the Halloween City brand which opens approximately 400 temporary stores each fall.",N/A
BCBG,501 to 1000 Employees,"Los Angeles, CA",Other Retail Stores,2.9,3.4,2.8,2.9,2.2,2.6,2.7,"See All 1,369 Reviews","The BCBG Max Azaria brand is under a long-term license with Centric Brands, one of the world’s leading branded apparel, footwear, fashion accessories, and lifestyle product companies.",N/A
Middlebury College,501 to 1000 Employees,"Middlebury, VT",Colleges & Universities,4.5,3.6,4.2,3.9,4.1,3.9,4.3,See All 160 Reviews,"Middlebury College is a private liberal arts school offering courses of study in the arts, humanities, literature, foreign languages, social sciences, and natural sciences. Middlebury is home to the Bread Loaf School of English, which offers summer graduate courses in literature, as well as the teaching of writing, creative writing, and theatre. Author Robert Frost spent almost every summer for 42 years at Bread Loaf, which is in the Green Mountains, 12 miles east of Middlebury. Every summer Middlebury also opens the Language Schools, where instruction is offered in 10 languages and the use of English is virtually banned. About 2,350 undergraduates are enrolled at Middlebury, which was founded in 1800.",N/A
Ultradent,501 to 1000 Employees,"South Jordan, UT",Health Care Products Manufacturing,4.2,4.7,4.2,4.0,3.8,3.7,3.6,See All 170 Reviews,"About Ultradent Products, Inc.

Ultradent Products, Inc. is a leading developer and manufacturer of high-tech dental materials, devices, and instruments worldwide. Ultradent’s vision is to improve oral health globally. Ultradent even works to improve the quality of life and health of individuals through financial and charitable programs. For more information about Ultradent, call 800-552-5512 or visit ultradent.com.

Wanna check out a video of what our current employees are saying about us? Visit the website address:
https://youtu.be/rTkvWgBM6NE","Mission: Mission Statement

We are driven to improve oral health globally through science, creativity and education.

We promise to provide progressive and trustworthy solutions to clinicians, enabling them to respect oral tissues and promote well-being to their patients. Our commitment to humanity is to continually pursue the discovery of cures for caries and gum disease."
Baruch College,501 to 1000 Employees,"New York, NY",Colleges & Universities,4.2,4.2,4.2,4.2,3.9,3.5,3.8,See All 307 Reviews,"Part of the City University of New York, Baruch College has an enrollment of some 16,000 students. The Manhattan institution offers undergraduate and graduate study programs through its three schools: the Zicklin School of Business, the School of Public Affairs, and the Weissman School of Arts and Sciences. It also offers non-degree and certificate programs. The college's roots go back to 1847 when the Free Academy, the first free public higher education institution in the US, was founded in New York City. The school was renamed in 1953 in honor of financier and statesman Bernard Baruch. The college became part of the City University system in 1968.",N/A
Parker & Lynch,501 to 1000 Employees,"Jacksonville, FL",Staffing & Outsourcing,4.1,4.3,4.1,3.8,3.9,4.0,3.8,See All 125 Reviews,"At Parker + Lynch, we're an established leader in executive recruiting and consulting. For more than 25 years, we’ve been building an unrivaled reputation for successfully aligning top-tier executive talent with leading businesses across the country. Along the way, we’ve continued to evolve to meet the changing needs of the organizations and professionals we serve.

Our experienced team of executive search experts works diligently to match business needs to career goals and corporate cultures to personalities. What we do is much more than fit resumes to specifications. Our holistic approach to recruiting yields matches other firms simply cannot make.

Meet us, let us help you meet others, and we’ll find the right alignment for you.

Explore our exclusive executive opportunities: http://pkrlynch.us/1YKAvRH","Mission: At Parker + Lynch, we strive to understand the client as a dynamic culture and the candidate as a whole person. This allows us to create alignment, which goes beyond simply matching resumes to specifications. We align talent and opportunity, experience and need, personality and environment, aspirations and values. Through these multidimensional matches, we aim to deliver more inspired placements—the kind that have a profound impact on both the client’s business and the candidate’s career."
