NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Northwestern University,5001 to 10000 Employees,"Evanston, IL",Colleges & Universities,4.3,4.0,4.0,3.9,3.5,3.9,3.8,"See All 2,125 Reviews","What's NU? With its main campus in the Chicago suburb of Evanston, Northwestern University (NU) serves its 16,500 students through around a dozen schools and colleges such as the McCormick School of Engineering and Applied Sciences and the Medill School of Journalism. Its Chicago campus houses the schools of law and medicine, as well as several hospitals of the McGaw Medical Center. With a faculty of 2,500, the school has a student-teacher ratio of 7:1. NU is home to several research centers and community outreach programs; it also has a branch in Qatar. It is the only private member of the Big 10 conference; varsity sports include baseball, football, basketball, and fencing.",N/A
"Patni Computer Systems
Acquired by IGATE",5001 to 10000 Employees,"Mumbai, India",IT Services,4.3,4.3,4.4,4.0,4.2,3.9,4.0,See All 403 Reviews,"Too bad Patni didn't patent the idea for outsourcing IT services to India. The company offers application development and maintenance, business process outsourcing, enterprise system management, and software implementation to some 300 clients worldwide. (However, around 80% of its revenues come from customers in the US.) Patni primarily serves companies in the insurance, financial services, and manufacturing industries. It also offers product engineering services, targeting such fields as electronics, data storage networks, industrial automation, medical electronics, and enterprise software. In 2011 iGate acquired 83% of Patni.",N/A
Vanderbilt University,5001 to 10000 Employees,"Nashville, TN",Colleges & Universities,4.3,4.0,4.1,4.1,3.9,3.9,4.0,"See All 1,124 Reviews","At Vanderbilt University, our work - regardless of title or role - is in service to an important and noble mission in which every member of our community serves in advancing knowledge and transforming lives on a daily basis. Located in Nashville, Tennessee, on a 330 acre campus and arboretum dating back to 1873, Vanderbilt is proud to have been named as one of “America’s Best Large Employers” as well as a top employer in Tennessee and the Nashville metropolitan area by Forbes for several years running. We welcome those who are interested in learning and growing professionally with an employer that strives to create, foster, and sustain opportunities as an employer of choice through:

- Working and growing together as a community of communities... we are One Vanderbilt.
- Providing a work environment where every staff and faculty member can be their authentic and best self, while providing the resources and opportunities to learn and grow.
- Encouraging development, collaboration, and partnership both internally and externally while fostering the value that every member of the Vanderbilt community can lead and grow regardless of title or position.

We understand you have a choice when choosing where to work and pursue a career. We understand you are unique and have a story. We want to hear it. We encourage you to apply today so that you might become a part of our story.","Mission: Vanderbilt University is a center for scholarly research, informed and creative teaching, and service to the community and society at large.

Vanderbilt will uphold the highest standards and be a leader in the quest for new knowledge through scholarship, dissemination of knowledge through teaching and outreach, and creative experimentation of ideas and concepts.

In pursuit of these goals, Vanderbilt values most highly intellectual freedom that supports open inquiry, equality, compassion, and excellence in all endeavors."
Biogen,5001 to 10000 Employees,"Cambridge, MA",Biotech & Pharmaceuticals,4.2,4.4,4.1,3.8,3.6,4.3,3.8,"See All 1,230 Reviews","At Biogen, our mission is clear: we are pioneers in neuroscience. Biogen discovers, develops and delivers worldwide innovative therapies for people living with serious neurological and neurodegenerative diseases as well as related therapeutic adjacencies. One of the world’s first global biotechnology companies, Biogen was founded in 1978 by Charles Weissmann, Heinz Schaller, Kenneth Murray and Nobel Prize winners Walter Gilbert and Phillip Sharp. Today Biogen has the leading portfolio of medicines to treat multiple sclerosis, has introduced the first approved treatment for spinal muscular atrophy, commercializes biosimilars of advanced biologics and is focused on advancing research programs in multiple sclerosis and neuroimmunology, Alzheimer’s disease and dementia, neuromuscular disorders, movement disorders, ophthalmology, immunology, neurocognitive disorders, acute neurology and pain.",N/A
Zillow,5001 to 10000 Employees,"Seattle, WA",Real Estate,4.2,4.6,4.4,4.3,4.0,4.4,4.0,"See All 1,037 Reviews","Our homes are the heartbeat of our lives, and we believe finding a home shouldn’t be so hard in today’s always-on world. That’s why we’re reimagining the traditional rules of real estate to make it easier than ever to move from one home to the next.

Our journey began nearly 15 years ago with a handful of employees and one big idea: to make it radically easier for people to move. We began by helping people understand and track their home’s with the Zestimate, our proprietary algorithm, and then with advanced technology and valuable connections with real estate professionals. Today, Zillow has become a household name. People are more likely to search for “Zillow” than “real estate,” and our name is often used as a verb.

While other industries have ushered in a new era of convenience, the time for seamless and convenient real estate experience is now. This is our next chapter as a company.

We’re looking for smart, passionate adventurers to join us as we reimagine the real estate transaction and change the way people buy, sell, rent and finance their homes.",N/A
"Manpower
Part of ManpowerGroup",5001 to 10000 Employees,"Uxbridge, United Kingdom",Staffing & Outsourcing,4.2,4.1,4.1,4.1,3.9,3.7,4.0,"See All 5,549 Reviews","About ManpowerGroup
The leading global workforce solutions company, helps organizations transform in a fast-changing world of work by sourcing, assessing, developing and managing the talent that enables them to win. We develop innovative solutions for hundreds of thousands of organizations every year, providing them with skilled talent while finding meaningful, sustainable employment for millions of people across a wide range of industries and skills. Our expert family of brands – Manpower®, Experis®, Right Management® and ManpowerGroup® Solutions – creates substantially more value for candidates and clients across 80 countries and territories and has done so for 70 years. In 2018, ManpowerGroup was named one of the World's Most Ethical Companies for the ninth year and one of Fortune's Most Admired Companies for the sixteenth year, confirming our position as the most trusted and admired brand in the industry. See how ManpowerGroup is powering the future of work: www.manpowergroup.com",N/A
University of Illinois at Chicago,5001 to 10000 Employees,"Chicago, IL",Colleges & Universities,4.2,4.3,3.9,3.9,3.6,3.4,3.7,"See All 1,551 Reviews",N/A,N/A
Capital Group,5001 to 10000 Employees,"Los Angeles, CA",Investment Banking & Asset Management,4.2,4.1,4.3,4.1,3.8,4.5,3.6,"See All 1,435 Reviews","At Capital Group, the success of the people who invest with us depends on the people we invest in. That’s why we offer a culture, compensation and opportunities that empower our associates to build successful and prosperous careers.

Through nine decades, Capital Group’s goal has been to improve people’s lives through successful investing. We know that our history is a testament to the strength of the people we hire. Private ownership allows us to keep our eyes on the long term while more than 8,000 associates in 30+ offices around the world help our clients and each other grow and thrive every day.",N/A
Rutgers University,5001 to 10000 Employees,"Piscataway, NJ",Colleges & Universities,4.2,4.3,4.1,4.0,3.7,3.7,3.8,"See All 2,651 Reviews","Having been founded even before the United States, Rutgers University can teach its students a thing or two about history. Founded in 1766 as Queen's College, the university was the colonies' eighth institution of higher education. It offers undergraduate and graduate degrees from more than two dozen schools and colleges on three campuses (Camden, Newark, and New Brunswick/Piscataway, New Jersey). Rutgers has about 57,000 students and some 4,000 faculty members. The university's schools and colleges offer undergraduate majors in more than 100 fields, including business and law. Rutgers' name changed in 1825 to honor Revolutionary War hero and alumnus Colonel Henry Rutgers.",N/A
Washington State University,5001 to 10000 Employees,"Pullman, WA",Colleges & Universities,4.2,4.1,3.9,4.0,3.5,3.6,3.7,See All 990 Reviews,"Founded in 1890 in Pullman, Washington State University (WSU) is Washington’s land-grant university with an overarching mission of improving the quality of life for all citizens – locally, nationally, and globally. WSU is committed to innovation and excellence in research and scholarship. WSU has a current enrollment of over 30,000 undergraduate, graduate, and professional students and approximately 6,000 faculty and staff at its five campuses (Pullman, Spokane, Tri-Cities, Vancouver, and Everett), as well as its numerous other locations across the State of Washington and online through its Global Campus. With a new President (Dr. Kirk Schulz began as the University’s 11th president in June 2016) and a new Vice President of Finance and Administration (Stacy Pearson started in March 2017); the University community is energized and excited.","Mission: Washington State University is a public research university committed to its land-grant heritage and tradition of service to society.

Washington State University will be recognized as one of the nation’s top 25 public research universities, preeminent in research and discovery, teaching, and engagement by 2030."
