NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION,FULL_DESCRIPTION,TARGET
McKinsey & Company,10000+ Employees,"New York, NY",Consulting,4.5,4.4,4.4,3.0,4.1,4.4,4.5,5198,"We work with leaders across sectors to tackle some of their toughest challenges, e.g.: how to best grow a start-up, improve early education, or quickly enter a new market. We serve organizations of all sizes, ranging from small-to-midsized companies with revenues less than $5bn a year to 90 of the top 100 companies on the Forbes Global 2000 list. We have more than 120 offices, 22 industry practices, and eight functional practices. While most of our work is in the private sector, we serve ~80 governments, and we’ve completed ~4,000 projects for social sector organizations in the last five years. 

That means whatever your passion, you will find others working on similar topics at McKinsey. If you know what you want to do, you can do it here. If you don’t know what you want to do, come to McKinsey to explore. Visit our Careers website to learn more and apply. Subscribe to our Careers Blog for weekly job alerts and stories about our colleagues.","Mission: Our mission is two-fold: to help our clients make distinctive, lasting, and substantial improvements in their performance; and to build a firm that attracts, develops, excites, and retains exceptional people. These elements are strongly connected. Helping clients solve their toughest problems requires the best people, and the best people are drawn to work that matters, together with supportive, dedicated colleagues.","We work with leaders across sectors to tackle some of their toughest challenges, e.g.: how to best grow a start-up, improve early education, or quickly enter a new market. We serve organizations of all sizes, ranging from small-to-midsized companies with revenues less than $5bn a year to 90 of the top 100 companies on the Forbes Global 2000 list. We have more than 120 offices, 22 industry practices, and eight functional practices. While most of our work is in the private sector, we serve ~80 governments, and we’ve completed ~4,000 projects for social sector organizations in the last five years. 

That means whatever your passion, you will find others working on similar topics at McKinsey. If you know what you want to do, you can do it here. If you don’t know what you want to do, come to McKinsey to explore. Visit our Careers website to learn more and apply. Subscribe to our Careers Blog for weekly job alerts and stories about our colleagues.Mission: Our mission is two-fold: to help our clients make distinctive, lasting, and substantial improvements in their performance; and to build a firm that attracts, develops, excites, and retains exceptional people. These elements are strongly connected. Helping clients solve their toughest problems requires the best people, and the best people are drawn to work that matters, together with supportive, dedicated colleagues.",1
Cornell University,10000+ Employees,"Ithaca, NY",Colleges & Universities,4.5,4.3,4.4,4.0,4.1,4.1,4.2,1765,"Cornell is a private, Ivy League university recognized as a leading-edge employer and exemplary research university. Our main campus is located in Ithaca, New York, but our reach spans the globe. Cornell has campuses in New York City and Doha, Qatar, as well as dozens of research stations in New York State and beyond.

Staff, faculty, and students thrive at Cornell because of its unparalleled combination of quality and breadth; its open, collaborative and innovative culture; its founding commitment to diversity and inclusion; its vibrant rural and urban campuses; and its land-grant legacy of public engagement.", ,"Cornell is a private, Ivy League university recognized as a leading-edge employer and exemplary research university. Our main campus is located in Ithaca, New York, but our reach spans the globe. Cornell has campuses in New York City and Doha, Qatar, as well as dozens of research stations in New York State and beyond.

Staff, faculty, and students thrive at Cornell because of its unparalleled combination of quality and breadth; its open, collaborative and innovative culture; its founding commitment to diversity and inclusion; its vibrant rural and urban campuses; and its land-grant legacy of public engagement. ",1
UC Santa Barbara,5001 to 10000 Employees,"Santa Barbara, CA",Colleges & Universities,4.5,4.2,4.3,4.4,4.1,3.7,4.0,1049,"Dude, let's hit the beach! And then we'll hit the books at the University of California at Santa Barbara (UCSB), which is located about 100 miles northwest of Los Angeles, where the Santa Ynez Mountains meet the Pacific Ocean. The coastal campus sits on nearly 1,000 acres, and is home to some 21,000 students and 1,000 faculty members. UCSB has five schools and a graduate division, offering more than 200 majors, degrees, and credentials. The school was established in 1909 as the Santa Barbara State Normal School of Manual Arts and Home Economics and joined the University of California system in 1944. Its faculty includes five Nobel Prize winners.", ,"Dude, let's hit the beach! And then we'll hit the books at the University of California at Santa Barbara (UCSB), which is located about 100 miles northwest of Los Angeles, where the Santa Ynez Mountains meet the Pacific Ocean. The coastal campus sits on nearly 1,000 acres, and is home to some 21,000 students and 1,000 faculty members. UCSB has five schools and a graduate division, offering more than 200 majors, degrees, and credentials. The school was established in 1909 as the Santa Barbara State Normal School of Manual Arts and Home Economics and joined the University of California system in 1944. Its faculty includes five Nobel Prize winners. ",1
UC Irvine,10000+ Employees,"Irvine, CA",Colleges & Universities,4.4,4.5,4.3,4.0,4.0,3.8,4.0,1398,"Sun, the beach, Nobel Prize winners, and a Southern California location, what more could you want in a university? The University of California, Irvine (UCI) has more than 27,000 students, 1,800 faculty members, and 8,900 staff. UCI was founded in 1965 and built on land donated by The Irvine Company, which developed the residential community surrounding the school. It offers 69 undergraduate degree programs, 45 master's degree programs, and 40 doctoral programs, as well as an MD and two EdDs. Serving the community and training its medical doctors, the UCI Medical Center -- a not-for-profit hospital -- and its affiliated clinics handle about 600,000 outpatient visits a year.", ,"Sun, the beach, Nobel Prize winners, and a Southern California location, what more could you want in a university? The University of California, Irvine (UCI) has more than 27,000 students, 1,800 faculty members, and 8,900 staff. UCI was founded in 1965 and built on land donated by The Irvine Company, which developed the residential community surrounding the school. It offers 69 undergraduate degree programs, 45 master's degree programs, and 40 doctoral programs, as well as an MD and two EdDs. Serving the community and training its medical doctors, the UCI Medical Center -- a not-for-profit hospital -- and its affiliated clinics handle about 600,000 outpatient visits a year. ",1
Iowa State University,5001 to 10000 Employees,"Ames, IA",Colleges & Universities,4.4,4.2,4.2,4.2,4.0,3.8,3.9,1203,"Attending Iowa State University of Science and Technology (ISU) can be a whirlwind experience for some. ISU is a public land-grant institution offering higher education courses and programs with an emphasis on science, technology, and related areas. It's also home to the Cyclones athletics teams. ISU's eight colleges offer more than 100 undergraduate degrees and nearly 200 fields of study leading to graduate and professional degrees. The university has an enrollment of approximately 33,000 students. Chartered as Iowa Agriculture College in 1858, the school first officially opened for classes in 1869. Among ISU's notable alumni is scientist and inventor George Washington Carver.", ,"Attending Iowa State University of Science and Technology (ISU) can be a whirlwind experience for some. ISU is a public land-grant institution offering higher education courses and programs with an emphasis on science, technology, and related areas. It's also home to the Cyclones athletics teams. ISU's eight colleges offer more than 100 undergraduate degrees and nearly 200 fields of study leading to graduate and professional degrees. The university has an enrollment of approximately 33,000 students. Chartered as Iowa Agriculture College in 1858, the school first officially opened for classes in 1869. Among ISU's notable alumni is scientist and inventor George Washington Carver. ",1
Purdue University,10000+ Employees,"West Lafayette, IN",Colleges & Universities,4.4,4.3,4.1,3.9,3.9,3.7,4.1,2459,"Hail, hail to old Purdue! Purdue University enrolls about 74,000 undergraduate, graduate, and continuing education students at its flagship West Lafayette campus, four regional campuses, and College of Technology locations. The university offers undergraduate and graduate programs from about a dozen colleges, including agriculture, education, nursing, veterinary medicine, and family sciences; its College of Technology provides industrial courses (applicable towards associate's or bachelor's degrees) in conjunction with local communities throughout Indiana. The student-faculty ratio is 14:1. Purdue was founded in 1869 and named for local businessman John Purdue, who donated $150,000 toward its establishment.", ,"Hail, hail to old Purdue! Purdue University enrolls about 74,000 undergraduate, graduate, and continuing education students at its flagship West Lafayette campus, four regional campuses, and College of Technology locations. The university offers undergraduate and graduate programs from about a dozen colleges, including agriculture, education, nursing, veterinary medicine, and family sciences; its College of Technology provides industrial courses (applicable towards associate's or bachelor's degrees) in conjunction with local communities throughout Indiana. The student-faculty ratio is 14:1. Purdue was founded in 1869 and named for local businessman John Purdue, who donated $150,000 toward its establishment. ",1
Virginia Tech,5001 to 10000 Employees,"Blacksburg, VA",Colleges & Universities,4.4,4.1,4.2,4.0,3.9,3.6,3.9,1351,"Virginia Tech, founded in 1872 as a land-grant institution, is currently ranked as a Top 25 Public University by US News & World Report and a Top 25 Public Research University by the National Science Foundation. Through a combination of its three missions of learning, discovery, and engagement, Virginia Tech continually strives to accomplish the charge of its motto: Ut Prosim (That I May Serve). As the Commonwealth’s most comprehensive university and its leading research institution, Virginia Tech serves a diverse population of 30,000+ students and 8000+ faculty and staff from over 100 countries, and is engaged in research around the world. Invent the Future at Virginia Tech.", ,"Virginia Tech, founded in 1872 as a land-grant institution, is currently ranked as a Top 25 Public University by US News & World Report and a Top 25 Public Research University by the National Science Foundation. Through a combination of its three missions of learning, discovery, and engagement, Virginia Tech continually strives to accomplish the charge of its motto: Ut Prosim (That I May Serve). As the Commonwealth’s most comprehensive university and its leading research institution, Virginia Tech serves a diverse population of 30,000+ students and 8000+ faculty and staff from over 100 countries, and is engaged in research around the world. Invent the Future at Virginia Tech. ",1
MathWorks,5001 to 10000 Employees,"Natick, MA",Computer Hardware & Software,4.4,4.5,4.6,4.6,4.2,4.0,4.0,1422,"MathWorks is the leading developer of mathematical computing software. MATLAB, the language of engineers and scientists, is a programming environment for algorithm development, data analysis, visualization, and numeric computation. Simulink is a block diagram environment for simulation and Model-Based Design of multidomain and embedded engineering systems. Engineers and scientists worldwide rely on these product families to accelerate the pace of discovery, innovation, and development in automotive, aerospace, electronics, financial services, biotech-pharmaceutical, and other industries. MATLAB and Simulink are also fundamental teaching and research tools in the world's universities and learning institutions. Founded in 1984, MathWorks employs more than 5000 people in 16 countries, with headquarters in Natick, Massachusetts, USA.","Mission: Our goal is to change the world by accelerating the pace of discovery, innovation, development, and learning in engineering and science.

We work to provide the ultimate computing environment for technical computation, visualization, design, simulation, and implementation. We use this environment to provide innovative solutions in a wide range of application areas.","MathWorks is the leading developer of mathematical computing software. MATLAB, the language of engineers and scientists, is a programming environment for algorithm development, data analysis, visualization, and numeric computation. Simulink is a block diagram environment for simulation and Model-Based Design of multidomain and embedded engineering systems. Engineers and scientists worldwide rely on these product families to accelerate the pace of discovery, innovation, and development in automotive, aerospace, electronics, financial services, biotech-pharmaceutical, and other industries. MATLAB and Simulink are also fundamental teaching and research tools in the world's universities and learning institutions. Founded in 1984, MathWorks employs more than 5000 people in 16 countries, with headquarters in Natick, Massachusetts, USA.Mission: Our goal is to change the world by accelerating the pace of discovery, innovation, development, and learning in engineering and science.

We work to provide the ultimate computing environment for technical computation, visualization, design, simulation, and implementation. We use this environment to provide innovative solutions in a wide range of application areas.",1
"Indeed
Part of Recruit Holdings",10000+ Employees,"Austin, TX",Internet,4.3,4.5,4.3,4.4,3.9,4.3,3.8,1633,"Indeed is the #1 job site in the world* with over 250 million unique visitors** every month. Indeed strives to put job seekers first, giving them free access to search for jobs, post resumes, and research companies. Every day, we connect millions of people to new opportunities.

*comScore Total Visits, March 2020
**Google Analytics, Unique Visitors, February 2020", ,"Indeed is the #1 job site in the world* with over 250 million unique visitors** every month. Indeed strives to put job seekers first, giving them free access to search for jobs, post resumes, and research companies. Every day, we connect millions of people to new opportunities.

*comScore Total Visits, March 2020
**Google Analytics, Unique Visitors, February 2020 ",1
Adobe,10000+ Employees,"San Jose, CA",Computer Hardware & Software,4.3,4.5,4.4,4.4,4.0,4.4,3.9,5248,"Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone – from emerging artists to global brands – to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and we’re changing the world through digital experiences.", ,"Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone – from emerging artists to global brands – to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and we’re changing the world through digital experiences. ",1
